study_accession,sample_accession,cell_line_name,sample_name,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,fastq_ftp,fastq_galaxy,submitted_ftp,submitted_galaxy,sra_ftp,sra_galaxy,cram_index_ftp,cram_index_galaxy
PRJNA545487,SAMN11893670,HuH-7_1,RS0000,SRS4847478,SRX5934291,SRR9161237,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161237/SRR9161237.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161237/SRR9161237.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161237,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161237,,
PRJNA545487,SAMN11893671,1321-N1_1,RS0001,SRS4847477,SRX5934290,SRR9161238,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9161238/SRR9161238.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9161238/SRR9161238.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9161238,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9161238,,
PRJNA545487,SAMN11893672,SK-MEL-28_1,RS0002,SRS4847476,SRX5934289,SRR9161239,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9161239/SRR9161239.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9161239/SRR9161239.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9161239,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9161239,,
PRJNA545487,SAMN11893673,LS180_1,RS0003,SRS4847475,SRX5934288,SRR9161240,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9161240/SRR9161240.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9161240/SRR9161240.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9161240,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9161240,,
PRJNA545487,SAMN11893674,MDA-MB-468_1,RS0004,SRS4847474,SRX5934287,SRR9161241,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9161241/SRR9161241.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9161241/SRR9161241.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9161241,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9161241,,
PRJNA545487,SAMN11893675,HCT116_1,RS0005,SRS4847473,SRX5934286,SRR9161242,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9161242/SRR9161242.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9161242/SRR9161242.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9161242,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9161242,,
PRJNA545487,SAMN11893676,JumpIn_1,RS0006,SRS4847472,SRX5934285,SRR9161243,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9161243/SRR9161243.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9161243/SRR9161243.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9161243,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9161243,,
PRJNA545487,SAMN11893677,HuH-7_2,RS0007,SRS4847471,SRX5934284,SRR9161244,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9161244/SRR9161244.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9161244/SRR9161244.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9161244,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9161244,,
PRJNA545487,SAMN11893678,1321-N1_2,RS0008,SRS4847470,SRX5934283,SRR9161245,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9161245/SRR9161245.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9161245/SRR9161245.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9161245,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9161245,,
PRJNA545487,SAMN11893679,SK-MEL-28_2,RS0009,SRS4847469,SRX5934282,SRR9161246,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9161246/SRR9161246.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9161246/SRR9161246.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9161246,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9161246,,
